 butylbutyrate sigma-profile (sigma [e/nm^2], p(sigma)*At [nm^2])
  -3.00000   0.00000
  -2.90000   0.00000
  -2.80000   0.00000
  -2.70000   0.00000
  -2.60000   0.00000
  -2.50000   0.00000
  -2.40000   0.00000
  -2.30000   0.00000
  -2.20000   0.00000
  -2.10000   0.00000
  -2.00000   0.00000
  -1.90000   0.00000
  -1.80000   0.00000
  -1.70000   0.00000
  -1.60000   0.00000
  -1.50000   0.00000
  -1.40000   0.00000
  -1.30000   0.00000
  -1.20000   0.00000
  -1.10000   0.00000
  -1.00000   0.00000
  -0.90000   0.00066
  -0.80000   0.01185
  -0.70000   0.03831
  -0.60000   0.07306
  -0.50000   0.13950
  -0.40000   0.22642
  -0.30000   0.25436
  -0.20000   0.23500
  -0.10000   0.21315
   0.00000   0.18689
   0.10000   0.18067
   0.20000   0.16994
   0.30000   0.11235
   0.40000   0.04644
   0.50000   0.02037
   0.60000   0.01855
   0.70000   0.01954
   0.80000   0.01989
   0.90000   0.01739
   1.00000   0.01882
   1.10000   0.02435
   1.20000   0.03357
   1.30000   0.03851
   1.40000   0.02930
   1.50000   0.01604
   1.60000   0.00698
   1.70000   0.00152
   1.80000   0.00000
   1.90000   0.00000
   2.00000   0.00000
   2.10000   0.00000
   2.20000   0.00000
   2.30000   0.00000
   2.40000   0.00000
   2.50000   0.00000
   2.60000   0.00000
   2.70000   0.00000
   2.80000   0.00000
   2.90000   0.00000
   3.00000   0.00000
