B;Ac;A0;Vcosmo
2.073319608;77.13358986;26.63475711;0.029833977
1.323844309;65.88072195;21.35700884;0.021761266
0.34625837;40.91775047;8.299979093;0.013644004
-0.70104997;15.80671354;-8.009042501;0.003483648
3.158598358;134.1262461;42.84989251;0.04673203
2.364272577;119.8248062;39.05923929;0.038744367
2.284335512;119.4255859;32.91059168;0.037825834
1.6895496;110.1661738;29.03695065;0.029281955
0.83790363;100.4696283;14.9552382;0.020136275
1.181721526;58.59287245;18.09247993;0.019028158
0.389221249;56.26614952;15.37076405;0.009757033
2.433048319;125.4708344;40.05727887;0.040022017
1.663365381;110.489458;33.27445451;0.032382844
0.714009567;86.14346195;17.90959041;0.023970665
1.20758286;73.25896743;59.02482417;0.019009495
4.381815143;219.3685122;101.5993305;0.0497041
2.364980549;153.2858693;68.471556;0.0258553
0.825547727;79.83031996;48.84099624;0.028716284
3.934399235;198.5983087;70.43721509;0.056555541
3.186373105;189.021513;61.5551471;0.048411552
2.769911536;133.9023636;53.56691204;0.034751433
4.250600888;207.4816937;77.83229669;0.068432082
3.386720467;194.1205353;72.06790799;0.059395766
3.031984754;150.9089774;58.61224978;0.046986375
2.867279765;124.4483984;46.51094676;0.041957716
1.740253817;90.61788555;39.00324381;0.033940907
0.972831416;69.90734924;-22.3389306;0.057465191
2.438832699;121.7213748;41.72803392;0.034770474
4.060916874;183.1749371;74.36504601;0.0544534
2.882874998;149.5837806;60.79531585;0.045717933
2.085433922;131.6662606;48.63289534;0.032065213
3.220490148;154.0867954;57.5467388;0.045776224
1.962106635;111.8210642;50.75205147;0.037855664
1.006488731;71.74466776;26.57438366;0.029478364
2.200519047;114.2765552;36.43790979;0.038089697
0.798549957;70.75269404;24.28885169;0.029263086
2.13988195;152.0169675;60.22902754;0.033452446
6.815200162;359.8625247;117.0270067;0.1084697
6.047781777;342.1495231;109.3782485;0.09996546
4.679658061;311.900264;95.90765491;0.090419096
6.93174237;335.1443077;120.0131524;0.0654695
5.651475373;309.3310181;108.1050571;0.05681776
3.353040056;212.1088516;94.21362104;0.044348628
6.37031569;328.386791;115.8273897;0.0539733
3.60100873;181.8958079;57.68631587;0.052591668
2.410412109;133.6400915;41.75104687;0.04384881
1.563178297;120.1333965;30.86087225;0.036302469
5.481927372;263.5266343;90.54842571;0.0831153
4.49614704;230.7890123;72.14159011;0.07415406
3.718955943;160.9951142;63.50924246;0.06968468
6.209750404;302.3808613;101.8842436;0.1047295
5.479820073;280.7484353;81.61001007;0.094801707
7.397868372;358.4986804;112.4438925;0.1261496
2.462958531;137.2978705;42.09571187;0.040052582
5.964403188;310.9075217;114.1816032;0.0704944
4.841678228;272.6838953;99.27199937;0.062226424
3.802885193;243.3592582;86.36674932;0.054407646
3.287642626;209.9241223;81.78980357;0.049071849
4.736413269;245.9427602;79.79517861;0.0844001
4.470238404;210.528069;74.44066868;0.0679368
3.725666807;201.6309466;63.48845424;0.059568773
7.222448813;397.8185912;138.2128898;0.1167029
5.686105525;341.9013065;135.2477092;0.0817831
3.316432207;182.3182743;53.00312638;0.047821104
2.177273585;115.7561314;36.73025407;0.037016425
2.500688082;112.1788002;39.6241928;0.042333641
2.114502672;128.5556922;36.19242996;0.03383139
7.736477457;445.5923634;140.9481751;0.0994067
7.099148723;339.5739777;118.4962764;0.0819032
1.911761674;84.3188303;29.05167324;0.030096393
1.550375723;69.48884111;23.40258142;0.026489316
8.585765004;450.0352257;145.8712911;0.1029602
3.065338049;99.71957611;39.88200214;0.05313153
1.890172414;80.08478229;24.38654604;0.035727551
0.704179595;24.84188372;16.72717105;0.024443765
2.092219007;125.8569756;50.67107064;0.038278231
2.787471208;117.4276282;38.79293382;0.0456631
2.807139142;119.8911247;34.54368202;0.038311746
1.821863082;93.27599312;23.27469535;0.031575369
-0.057073587;42.96397961;8.59632802;0.026272569
0.996507515;59.13530004;11.17471339;0.038233038
9.173318483;510.077785;165.9106848;0.1322163
6.655350875;293.8411749;97.18371106;0.1120291
4.690520065;217.9778874;69.13309629;0.080938692
5.650095196;249.1932478;87.42004717;0.0906061
3.69099776;167.2747858;56.34033885;0.059900125
3.948752997;155.8189137;53.84955298;0.06711702
4.97448855;195.9791643;74.40018087;0.0763685
5.174123402;177.0932252;66.49239816;0.0833732
5.970136995;234.5613559;81.9635066;0.0977367
4.544302329;313.3699999;116.662322;0.049707053
6.212642778;394.3554753;139.0551478;0.07250875
4.902394186;338.1008831;111.4436496;0.064743853
7.266461069;409.756753;132.7569706;0.093683923
6.366946063;377.0888499;118.6461153;0.088821237
4.875642162;327.7959175;106.4553746;0.081078592
4.48048454;234.783103;106.4660049;0.073986043
3.371813434;211.0223121;97.95881322;0.066715638
3.680679223;193.7787663;61.44282756;0.059949247
2.70720874;169.5486548;53.5196279;0.051830179
2.172153379;139.0281514;42.34682031;0.045219231
7.091821149;371.2135287;130.6147059;0.1157738
6.401223573;326.4724243;105.5030735;0.105958
5.157254298;296.5025026;93.02121286;0.098012124
4.583494833;297.7182504;89.85180463;0.089228251
2.099877794;19.16460412;8.615695007;0.0131351
2.45003037;60.77781626;26.74031091;0.0323635
2.855382873;60.31516615;27.02329102;0.0372299
2.908821772;63.41000905;28.31233067;0.040527
3.10422001;116.2544009;51.26258507;0.048329
3.132572722;134.3181269;50.8316625;0.0456038
3.118185592;85.43035425;33.78923428;0.0390244
3.637117341;133.84848;55.25514738;0.0513845
3.96830067;135.7329898;50.8333171;0.055673
4.341485744;154.1234843;56.40495659;0.0607498
5.241857556;203.0706909;71.23152151;0.077099
5.647472223;218.0451903;75.95480532;0.0824766
4.823026651;202.2421621;75.63178827;0.0723971
6.907935385;283.0074796;95.44068801;0.1041887
2.459485452;59.99102523;25.8751897;0.0443872
3.860026586;172.0627046;59.29309076;0.0612032
2.78402996;128.6261411;56.40518839;0.0313959
3.890259121;176.9289766;70.56380904;0.0591213
3.532089089;205.8744593;107.3881224;0.056708823
3.265969203;194.0385209;89.08090418;0.053638239
1.863386123;111.600228;73.85256935;0.035965743
2.532435045;166.6043541;98.23678404;0.045617435
-1.055594342;71.70598783;-17.62246983;0.036412141
2.157720581;140.5104834;47.9541245;0.060861651
4.637961198;309.6713672;100.0416508;0.072993613
2.866633921;0;77.11132349;0.065644274
4.400389307;192.7859785;70.45618492;0.0442183
4.262128846;229.060875;99.93451658;0.0624495
4.397648092;177.0726732;63.85315036;0.0601185
2.639744445;182.0719164;78.22166234;0.0389326
5.47527071;264.6346714;121.1705083;0.0714398
6.715456304;311.3527554;110.9873924;0.0871919
6.425771477;332.2470093;129.3462585;0.0754438
5.4704692;247.7105054;91.10436811;0.0655095
0.00023;0.00861;0.04456;0.0090704
3.16013;123.13555;36.82343;0.041240952
3.74252;124.21353;46.36239;0.0502687
1.11004;76.90876;19.03433;0.017065444
1.52593;87.22948;28.01744;0.0235955
4.20072;185.23832;63.77864;0.0469538
5.20754;228.40016;77.94675;0.06886
1.32968;164.18881;30.32757;0.026888382
7.59311;505.50639;123.60003;0.1216908
1.88408;109.1685;28.79159;0.0383488
1.23643;105.96072;24.23196;0.029361226
2.39802;125.59581;33.46734;0.033720079
4.03259;221.91824;57.08538;0.042537676
4.34109;209.54024;56.79975;0.045786025
2.42726;97.56162;37.5581;0.0425483
4.12042;192.37103;67.17565;0.0638246
5.06077;265.55474;81.6501;0.0727172
2.74324;217.25434;29.53209;0.0522529
2.49332;187.45273;10.19272;0.0511904
2.24905;164.96875;31.47097;0.0356799
3.32704;235.79376;62.84056;0.055748623
3.55827;218.21782;42.27828;0.043817663
3.93238;183.07812;82.25239;0.0593094
6.67374;313.09863;97.1877;0.0809355
2.78456;148.82367;67.51782;0.050742328
2.41598;174.59573;44.52832;0.033092924
0.32873;34.61644;2.18814;0.017410172
0.67324;24.44387;-1.12087;0.028713569
8.44033;304.81245;120.92482;0.1022845
2.8084;105.55905;50.10272;0.0588101
2.10963;66.70661;36.46893;0.0374893
2.68973;164.51209;45.6176;0.0476162
8.1315;268.609;129.23366;0.0805947
3.76673;153.26091;63.09713;0.0749503
0.32248;23.36163;3.03391;0.020307841
13.87466;430.5844;218.3633;0.1020385
0.48513;97.62771;7.69059;0.0309797
8.10358;270.11597;132.76618;0.0803798
-0.43112;-1.46029;-3.61944;0.012127692
2.50217;122.45284;30.53532;0.028762056
1.51345;74.28554;20.07038;0.045479094
3.46416;127.17625;54.94383;0.0540489
3.57846;142.42025;51.35855;0.0584159
1.6667;87.85352;30.91739;0.037280081
2.74361;106.2638;37.45667;0.044946501
4.4899;180.71396;71.30428;0.0753178
